instance_id predicted_score
2475218615076601065 3.122824554595893e-05
398316874173557226 9.899266724737927e-05
6586402638209028583 9.844701105087128e-05
1040996105851528465 0.00010040304962064901
6316278569655873454 9.516492377518417e-05
868158305045921978 0.0001007951758587723
5713520501786699854 5.842056366044909e-05
932945015407923184 5.213735415207482e-05
1919197847086752313 0.00013119315104254305
304887065966615346 0.00012728825030299773
3282556850371665 0.00012287527631521457
8829646398295427742 0.0001332787175155627
3177704368658581090 0.00011963163158280708
331811904131229654 3.064356014324418e-05
1529584165704680903 0.00010494536685332627
410957802501821801 0.00011133515066317131
7858701120525579871 9.784001197985035e-05
1007593432911733192 0.00011069382689726093
6933421324008829721 0.00010982877652327291
949601458836318592 0.00010997732312735294
1204371563787795352 9.749347621610448e-05
6697124581068234934 5.881228987881312e-05
7458626674337135052 5.6872361669563175e-05
6451011837344535814 5.367273011530547e-05
4970342844069330588 6.420960701953028e-05
1311037283502827477 5.781342634059177e-05
5367830782177104937 6.834066074367712e-05
130085071580390177 5.240145005766469e-05
5277248246761080968 5.252401682475344e-05
8248237544078109435 6.223176753410994e-05
8160495387552112248 5.599494151419696e-05
4990633888389156703 6.264960496524381e-05
5367915129338412746 5.9788270814039235e-05
7166315717760973347 5.390326658372114e-05
3922408194130789536 5.887224776619445e-05
3198031054131887410 5.085494751599119e-05
8381639851093431264 6.465181577227993e-05
4196377277000518389 6.150776969114145e-05
7216665137006358861 6.177440236147408e-05
7657988882068327631 6.165908172216892e-05
6580538684502645403 7.080120526058781e-05
8285962653536984730 6.527638675757063e-05
667595007626814688 5.339204048922623e-05
794637447406319981 7.112227931169118e-05
1667489879796904413 6.206651052788806e-05
7581478598841084967 5.6512272758990914e-05
272473116112748683 3.99774490762616e-05
7616847274036607679 3.939330160783239e-05
3090692985891227788 6.50035612275148e-05
1497475395995941288 6.298158058894232e-05
441294948945551728 6.456024655418707e-05
3856621171799337440 6.566403810647806e-05
7233013970386906908 6.243294011754626e-05
7782462939020585759 6.283401292632912e-05
7819341218876328892 6.256903103070354e-05
8768374492722589767 5.584823780388924e-05
7699672123093034935 6.69167086852021e-05
3105846136880438244 6.717500118678162e-05
6362992075498435257 5.919156897667062e-05
4633007087835435834 4.107276530304143e-05
3278116017102114132 5.793009829295658e-05
5363866899442970684 5.5719182823403544e-05
4763880063818181026 5.7561056679819136e-05
